patcnty1,dsch_yr,Sex,Discharges,AnnotationCode,AnnotationDesc
Imperial,2020,Female,8620,,
Imperial,2020,Male,7243,,
Imperial,2020,"Unknown, Invalid",1,,
Imperial,2021,Female,8426,,
Imperial,2021,Male,6708,,
Imperial,2022,Female,8496,,
Imperial,2022,Male,6824,,
Imperial,2023,Female,7972,,
Imperial,2023,Male,6853,,
Inyo,2012,Female,859,,
Inyo,2012,Male,621,,
Inyo,2013,Female,844,,
Inyo,2013,Male,548,,
Inyo,2014,Female,958,,
Inyo,2014,Male,644,,
Inyo,2015,Female,975,,
Inyo,2015,Male,728,,
Inyo,2016,Female,920,,
Inyo,2016,Male,629,,
Inyo,2017,Female,973,,
Inyo,2017,Male,712,,
Inyo,2018,Female,988,,
Inyo,2018,Male,673,,
Inyo,2019,Female,989,,
Inyo,2019,Male,813,,
Inyo,2019,"Unknown, Invalid",1,,
Inyo,2020,Female,855,,
Inyo,2020,Male,704,,
Inyo,2021,Female,728,,
Inyo,2021,Male,604,,
Inyo,2022,Female,630,,
Inyo,2022,Male,567,,
Inyo,2023,Female,645,,
Inyo,2023,Male,538,,
Inyo,2023,"Unknown, Invalid",1,,
Kern,2012,Female,55177,,
Kern,2012,Male,38597,,
Kern,2012,"Other, Unknown, Invalid",10,,
Kern,2013,Female,52519,,
Kern,2013,Male,37757,,
Kern,2013,"Other, Unknown, Invalid",9,,
Kern,2014,Female,52919,,
Kern,2014,Male,38365,,
Kern,2014,"Other, Unknown, Invalid",15,,
Kern,2015,Female,51745,,
Kern,2015,Male,37428,,
Kern,2015,"Other, Unknown, Invalid",17,,
Kern,2016,Female,52481,,
Kern,2016,Male,38881,,
Kern,2016,"Other, Unknown, Invalid",9,,
Kern,2017,Female,51916,,
Kern,2017,Male,39071,,
Kern,2017,"Unknown, Invalid",10,,
Kern,2018,Female,49956,,
Kern,2018,Male,37171,,
Kern,2018,"Unknown, Invalid",3,,
Kern,2019,Female,50753,,
Kern,2019,Male,38613,,
Kern,2019,"Unknown, Invalid",3,,
Kern,2020,Female,46846,,
Kern,2020,Male,36521,,
Kern,2021,Female,48062,,
Kern,2021,Male,38312,,
Kern,2021,"Unknown, Invalid",1,,
Kern,2022,Female,47778,,
Kern,2022,Male,37080,,
Kern,2022,"Unknown, Invalid",11,,
Kern,2023,Female,47741,,
Kern,2023,Male,38073,,
Kern,2023,"Unknown, Invalid",7,,
Kings,2012,Female,8436,,
Kings,2012,Male,6384,,
Kings,2013,Female,8054,,
Kings,2013,Male,5919,,
Kings,2014,Female,7985,,
Kings,2014,Male,5703,,
Kings,2015,Female,8162,,
Kings,2015,Male,5757,,
Kings,2016,Female,7891,,
Kings,2016,Male,5754,,
Kings,2017,Female,8597,,
Kings,2017,Male,6288,,
Kings,2018,Female,8093,,
Kings,2018,Male,5708,,
Kings,2018,"Unknown, Invalid",2,,
Kings,2019,Female,8038,,
Kings,2019,Male,6018,,
Kings,2019,"Unknown, Invalid",1,,
Kings,2020,Female,7762,,
Kings,2020,Male,5640,,
Kings,2021,Female,7894,,
Kings,2021,Male,5702,,
Kings,2022,Female,7550,,
Kings,2022,Male,5899,,
Kings,2022,"Unknown, Invalid",3,,
Kings,2023,Female,7086,,
Kings,2023,Male,5563,,
Kings,2023,"Unknown, Invalid",4,,
Lake,2012,Female,4997,,
Lake,2012,Male,4096,,
Lake,2012,"Other, Unknown, Invalid",1,,
Lake,2013,Female,5166,,
Lake,2013,Male,3823,,
Lake,2014,Female,4684,,
Lake,2014,Male,3689,,
Lake,2014,"Other, Unknown, Invalid",1,,
Lake,2015,Female,4736,,
Lake,2015,Male,3838,,
Lake,2015,"Other, Unknown, Invalid",1,,
Lake,2016,Female,4751,,
Lake,2016,Male,4098,,
Lake,2017,Female,4862,,
Lake,2017,Male,4185,,
Lake,2017,"Unknown, Invalid",1,,
Lake,2018,Female,4840,,
Lake,2018,Male,4060,,
Lake,2018,"Unknown, Invalid",8,,
Lake,2019,Female,4834,,
Lake,2019,Male,4006,,
Lake,2020,Female,4156,,
Lake,2020,Male,3490,,
Lake,2021,Female,4228,,
Lake,2021,Male,3762,,
Lake,2022,Female,4097,,
Lake,2022,Male,3700,,
Lake,2023,Female,4235,,
Lake,2023,Male,3642,,
Lassen,2012,Female,1158,,
Lassen,2012,Male,881,,
Lassen,2013,Female,1165,,
Lassen,2013,Male,806,,
Lassen,2014,Female,1233,,
Lassen,2014,Male,815,,
Lassen,2015,Female,1129,,
Lassen,2015,Male,822,,
Lassen,2016,Female,1120,,
Lassen,2016,Male,790,,
Lassen,2017,Female,982,,
Lassen,2017,Male,786,,
Lassen,2018,Female,981,,
Lassen,2018,Male,771,,
Lassen,2019,Female,948,,
Lassen,2019,Male,742,,
Lassen,2020,Female,820,,
Lassen,2020,Male,656,,
Lassen,2021,Female,812,,
Lassen,2021,Male,699,,
Lassen,2022,Female,810,,
Lassen,2022,Male,643,,
Lassen,2023,Female,783,,
Lassen,2023,Male,594,,
Los Angeles,2012,Female,628849,,
Los Angeles,2012,Male,460306,,
Los Angeles,2012,"Other, Unknown, Invalid",71,,
Los Angeles,2013,Female,603259,,
Los Angeles,2013,Male,448213,,
Los Angeles,2013,"Other, Unknown, Invalid",74,,
Los Angeles,2014,Female,600154,,
Los Angeles,2014,Male,450024,,
Los Angeles,2014,"Other, Unknown, Invalid",61,,
Los Angeles,2015,Female,595707,,
Los Angeles,2015,Male,455826,,
Los Angeles,2015,"Other, Unknown, Invalid",76,,
Los Angeles,2016,Female,590080,,
Los Angeles,2016,Male,459341,,
Los Angeles,2016,"Other, Unknown, Invalid",89,,
Los Angeles,2017,Female,581235,,
Los Angeles,2017,Male,454386,,
Los Angeles,2017,"Unknown, Invalid",56,,
Los Angeles,2018,Female,563306,,
Los Angeles,2018,Male,447132,,
Los Angeles,2018,"Unknown, Invalid",64,,
Los Angeles,2019,Female,552550,,
Los Angeles,2019,Male,442913,,
Los Angeles,2019,"Unknown, Invalid",61,,
Los Angeles,2020,Female,475819,,
Los Angeles,2020,Male,398352,,
Los Angeles,2020,"Unknown, Invalid",74,,
Los Angeles,2021,Female,487730,,
Los Angeles,2021,Male,409162,,
Los Angeles,2021,"Unknown, Invalid",105,,
Los Angeles,2022,Female,495098,,
Los Angeles,2022,Male,408845,,
Los Angeles,2022,"Unknown, Invalid",109,,
Los Angeles,2023,Female,503828,,
Los Angeles,2023,Male,435484,,
Los Angeles,2023,"Unknown, Invalid",157,,
Madera,2012,Female,8877,,
Madera,2012,Male,5997,,
Madera,2012,"Other, Unknown, Invalid",1,,
Madera,2013,Female,8724,,
Madera,2013,Male,6059,,
Madera,2013,"Other, Unknown, Invalid",3,,
Madera,2014,Female,8595,,
Madera,2014,Male,6093,,
Madera,2015,Female,8573,,
Madera,2015,Male,6184,,
Madera,2015,"Other, Unknown, Invalid",2,,
Madera,2016,Female,8748,,
Madera,2016,Male,6207,,
Madera,2016,"Other, Unknown, Invalid",3,,
Madera,2017,Female,8428,,
Madera,2017,Male,6075,,
Madera,2017,"Unknown, Invalid",4,,
Madera,2018,Female,8396,,
Madera,2018,Male,6297,,
Madera,2018,"Unknown, Invalid",3,,
Madera,2019,Female,8404,,
Madera,2019,Male,5930,,
Madera,2019,"Unknown, Invalid",2,,
Madera,2020,Female,7693,,
Madera,2020,Male,5684,,
Madera,2020,"Unknown, Invalid",1,,
Madera,2021,Female,7854,,
Madera,2021,Male,5849,,
Madera,2021,"Unknown, Invalid",2,,
Madera,2022,Female,8176,,
Madera,2022,Male,6018,,
Madera,2022,"Unknown, Invalid",1,,
Madera,2023,Female,8655,,
Madera,2023,Male,6134,,
Madera,2023,"Unknown, Invalid",1,,
Marin,2012,Female,11904,,
Marin,2012,Male,9308,,
Marin,2013,Female,11607,,
Marin,2013,Male,8998,,
Marin,2014,Female,11282,,
Marin,2014,Male,8611,,
Marin,2014,"Other, Unknown, Invalid",2,,
Marin,2015,Female,11190,,
